"
2019,"2,113.53",815.93,"1,282.42",971.34,"1,043.15",516.40,257.79,—,678.14,—,"7,678.70",282.03,"7,960.73"
2020,"2,084.35",868.13,"1,196.46",833.34,"1,061.38",518.11,243.15,—,668.80,651.95,"8,125.67",323.67,"8,449.34"
2021,"2,132.65",905.78,"1,253.18",972.01,"1,106.22",549.50,267.27,—,664.17,702.80,"8,553.58",291.72,"8,845.30"
2022,"2,195.59",953.78,"1,354.15","1,053.16","1,178.20",720.40,291.87,—,735.19,162.79,"8,645.12",304.22,"8,949.34"
2023 f,"2,320.22",998.11,"1,390.66","1,089.11","1,215.58",706.18,294.87,—,790.55,—,"8,805.28",335.81,"9,141.09"
2024 f,"2,262.03","1,022.56","1,444.68","1,134.44","1,228.62",860.13,305.12,—,783.58,—,"9,041.17",328.72,"9,369.89"
,,,,,,,,,,,,,
British Columbia,,,,,,,,,,,,,
Year ,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1975,220.26,41.87,99.95,66.95,54.32,22.10,14.04,—,13.07,—,532.56,20.88,553.44
1976,253.85,46.94,117.48,74.93,61.37,24.67,15.30,—,16.93,—,611.48,31.13,642.61
1977,279.03,50.23,125.12,86.43,66.47,31.09,18.27,—,19.38,—,676.02,36.66,712.68
1978,285.86,73.81,136.36,103.23,70.66,37.56,21.30,—,20.51,—,749.28,32.47,781.75
1979,307.31,89.64,152.92,114.45,86.89,40.19,25.59,—,23.81,—,840.80,17.88,858.67
1980,392.96,109.36,172.46,126.40,102.91,43.71,24.90,—,30.15,—,"1,002.85",46.00,"1,048.85"
1981,458.80,109.62,207.01,143.48,106.17,52.04,33.36,—,44.32,—,"1,154.81",58.82,"1,213.62"
1982,518.08,125.89,247.34,165.89,105.90,44.14,39.11,—,50.36,—,"1,296.71",48.76,"1,345.47"
1983,544.25,136.57,274.34,181.82,113.35,40.51,44.20,—,56.58,—,"1,391.62",37.69,"1,429.31"
1984,553.05,144.93,281.96,196.53,131.32,43.76,53.34,—,61.80,—,"1,466.68",36.08,"1,502.76"
1985,565.45,149.09,285.52,204.01,140.00,45.70,55.64,—,68.74,—,"1,514.16",44.73,"1,558.89"
1986,616.56,157.63,301.40,213.95,148.35,46.84,59.96,—,73.09,—,"1,617.78",41.58,"1,659.36"
1987,651.96,159.53,314.58,225.04,166.07,49.40,58.58,—,78.34,—,"1,703.50",48.51,"1,752.02"
1988,673.23,186.69,329.51,238.29,181.27,57.89,59.81,—,87.37,—,"1,814.07",60.60,"1,874.67"
1989,716.74,211.36,342.04,256.88,199.54,63.99,66.61,—,100.88,—,"1,958.04",78.34,"2,036.38"
1990,773.44,238.79,375.75,279.49,219.21,72.07,73.23,—,119.74,—,"2,151.72",88.88,"2,240.60"
1991,820.96,268.19,405.79,299.01,240.00,82.21,78.12,—,135.18,—,"2,329.47",79.50,"2,408.97"
1992,854.84,282.79,400.51,313.91,257.64,116.56,83.15,—,140.74,—,"2,450.13",78.04,"2,528.17"
1993,866.11,285.48,412.47,311.52,278.91,136.66,80.95,—,149.42,—,"2,521.52",84.44,"2,605.95"
1994,866.83,292.53,428.73,317.87,283.69,127.90,82.51,—,163.79,—,"2,563.83",94.25,"2,658.09"
1995,828.13,287.93,437.65,341.24,290.50,148.26,96.84,—,165.57,—,"2,596.12",81.19,"2,677.31"
1996,809.12,299.03,431.52,354.37,299.63,152.91,97.86,—,144.36,—,"2,588.79",89.90,"2,678.70"
1997,831.15,309.98,425.70,377.55,316.41,126.75,102.21,—,170.11,—,"2,659.87",83.39,"2,743.26"
1998,847.91,313.37,439.91,432.04,347.93,153.47,86.44,—,187.34,—,"2,808.42",57.26,"2,865.68"
1999,897.64,345.11,466.44,420.57,375.08,170.42,80.42,—,190.78,—,"2,946.46",114.76,"3,061.22"
2000,954.71,399.77,500.42,461.87,412.40,183.73,91.30,—,192.65,—,"3,196.85",123.74,"3,320.58"
2001,"1,024.34",430.30,549.50,462.58,448.31,202.51,114.86,—,232.28,—,"3,464.67",136.12,"3,600.79"
2002,"1,088.74",461.83,597.44,475.66,485.46,192.66,138.57,—,244.58,—,"3,684.93",136.59,"3,821.52"
2003,"1,131.05",455.68,620.69,502.79,518.47,204.08,135.65,—,258.29,—,"3,826.70",148.69,"3,975.39"
2004,"1,138.31",459.41,625.57,544.64,562.77,210.97,140.87,—,266.91,—,"3,949.45",171.24,"4,120.69"
2005,"1,172.37",397.42,641.91,533.73,579.18,254.17,167.48,—,311.78,—,"4,058.05",237.00,"4,295.05"
2006,"1,223.31",389.44,689.21,568.53,632.35,272.45,173.93,—,342.10,—,"4,291.33",282.97,"4,574.31"
2007,"1,282.12",378.90,731.15,569.71,624.84,301.56,180.05,—,405.52,—,"4,473.84",324.59,"4,798.43"
2008,"1,384.82",378.43,757.79,669.93,659.27,333.66,171.77,—,449.02,—,"4,804.68",292.87,"5,097.55"
2009,"1,438.01",391.71,783.15,657.71,679.74,353.49,167.05,—,459.98,—,"4,930.84",275.81,"5,206.65"
2010,"1,559.60",377.06,813.40,614.13,785.41,363.00,164.04,—,475.59,—,"5,152.23",291.15,"5,443.38"
2011,"1,574.82",486.44,851.40,613.84,767.37,362.99,177.08,—,447.99,—,"5,281.94",278.39,"5,560.33"
2012,"1,564.66",599.48,848.93,671.19,767.22,355.63,179.73,—,532.22,—,"5,519.06",288.81,"5,807.87"
2013,"1,572.37",641.63,865.57,630.33,746.09,358.46,188.55,—,542.74,—,"5,545.75",195.18,"5,740.92"
2014,"1,614.66",667.77,868.08,688.81,720.75,361.86,196.52,—,613.42,—,"5,731.87",223.36,"5,955.23"
2015,"1,657.26",682.79,898.52,717.62,768.09,366.57,178.97,—,599.47,—,"5,869.29",242.13,"6,111.42"
2016,"1,671.54",693.84,922.69,744.41,782.44,372.53,197.41,—,623.81,—,"6,008.67",244.35,"6,253.02"
2017,"1,681.46",770.25,938.63,781.87,808.95,385.91,210.11,—,647.40,—,"6,224.57",220.53,"6,445.11"
2018,"1,756.63",842.67,962.10,849.19,846.62,398.16,275.79,—,657.04,—,"6,588.21",225.47,"6,813.68"
2019,"1,821.69",904.79,"1,000.54",909.84,882.53,421.57,280.28,—,731.49,—,"6,952.74",213.92,"7,166.66"
2020,"1,823.89",989.02,997.46,801.36,872.26,446.86,272.18,—,708.59,705.90,"7,617.53",237.24,"7,854.77"
2021,"1,863.80","1,061.50","1,083.33",978.08,867.88,480.62,311.23,—,787.92,756.22,"8,190.57",358.92,"8,549.49"
2022,"2,013.36","1,105.63","1,109.84","1,067.40",943.04,581.85,341.77,—,941.11,171.82,"8,275.83",443.64,"8,719.47"
2023 f,"2,072.18","1,130.26","1,248.41","1,126.81",961.78,599.03,356.58,—,994.70,—,"8,489.74",592.58,"9,082.32"
2024 f,"2,284.49","1,197.94","1,341.23","1,169.23",992.68,643.43,368.88,—,"1,063.42",—,"9,061.31",611.82,"9,673.13"
